FIPS,Geography,counts,UPB
16023,"BUTTE County ,ID",16,1771704.79
37025,"CABARRUS County ,NC",1966,329478891.88
54011,"CABELL County ,WV",105,12002226.23
13037,"CALHOUN County ,GA",4,563440.81
17013,"CALHOUN County ,IL",5,727787.75
16025,"CAMAS County ,ID",3,253549.02
29031,"CAPE GIRARDEAU County ,MO",272,32507518.80
34009,"CAPE MAY County ,NJ",1902,407038145.35
24011,"CAROLINE County ,MD",140,23934961.28
13045,"CARROLL County ,GA",747,86501078.90
47017,"CARROLL County ,TN",125,12206291.01
47019,"CARTER County ,TN",137,14371867.16
38017,"CASS County ,ND",339,60467100.53
37033,"CASWELL County ,NC",21,2382718.96
36011,"CAYUGA County ,NY",451,43360558.85
42027,"CENTRE County ,PA",382,62513397.68
20017,"CHASE County ,KS",2,104140.72
13053,"CHATTAHOOCHEE County ,GA",5,660208.27
36015,"CHEMUNG County ,NY",103,10085095.72
36017,"CHENANGO County ,NY",220,22950661.76
20021,"CHEROKEE County ,KS",118,7739577.82
40021,"CHEROKEE County ,OK",237,22386883.46
45025,"CHESTERFIELD County ,SC",58,7319074.95
08017,"CHEYENNE County ,CO",3,115387.02
19037,"CHICKASAW County ,IA",29,2413091.00
28017,"CHICKASAW County ,MS",46,4697131.54
40023,"CHOCTAW County ,OK",7,513232.77
21047,"CHRISTIAN County ,KY",235,26806704.03
28021,"CLAIBORNE County ,MS",13,1340785.86
42031,"CLARION County ,PA",43,4108534.57
20025,"CLARK County ,KS",4,388039.28
55019,"CLARK County ,WI",109,9216804.74
01025,"CLARKE County ,AL",186,22130041.25
13059,"CLARKE County ,GA",407,53183790.04
21051,"CLAY County ,KY",65,5115479.20
29047,"CLAY County ,MO",3053,353473857.61
54015,"CLAY County ,WV",2,538503.18
01029,"CLEBURNE County ,AL",58,6477041.98
40027,"CLEVELAND County ,OK",1408,188795422.23
19045,"CLINTON County ,IA",182,18921361.12
36019,"CLINTON County ,NY",407,50043838.55
40029,"COAL County ,OK",11,968635.88
04005,"COCONINO County ,AZ",475,95688900.38
45029,"COLLETON County ,SC",59,9667851.82
48087,"COLLINGSWORTH County ,TX",2,177947.41
05027,"COLUMBIA County ,AR",17,1692642.09
37047,"COLUMBUS County ,NC",35,3486792.53
22029,"CONCORDIA County ,LA",380,46592844.98
06013,"CONTRA COSTA County ,CA",8211,2464293538.50
05029,"CONWAY County ,AR",244,26034273.59
41011,"COOS County ,OR",386,57477690.69
39031,"COSHOCTON County ,OH",62,4927774.66
27033,"COTTONWOOD County ,MN",44,3748362.54
01039,"COVINGTON County ,AL",274,27149002.12
13079,"CRAWFORD County ,GA",9,827101.01
20037,"CRAWFORD County ,KS",88,7474728.49
05035,"CRITTENDEN County ,AR",80,10159267.98
21055,"CRITTENDEN County ,KY",230,21510587.50
47033,"CROCKETT County ,TN",35,3213305.95
56011,"CROOK County ,WY",48,6930979.46
48109,"CULBERSON County ,TX",6,504656.40
37053,"CURRITUCK County ,NC",139,32044171.01
41015,"CURRY County ,OR",97,21529515.91
31041,"CUSTER County ,NE",12,1110026.04
39035,"CUYAHOGA County ,OH",6861,879179944.85
29057,"DADE County ,MO",14,982456.66
48111,"DALLAM County ,TX",18,2009479.43
19049,"DALLAS County ,IA",122,16611195.05
47037,"DAVIDSON County ,TN",5667,893597971.67
49011,"DAVIS County ,UT",6981,1353282361.85
31047,"DAWSON County ,NE",36,3405485.65
12027,"DE SOTO County ,FL",213,20964851.24
06015,"DEL NORTE County ,CA",133,22539214.11
18035,"DELAWARE County ,IN",1095,91763472.26
26041,"DELTA County ,MI",13,1516675.40
19057,"DES MOINES County ,IA",42,4380180.00
48125,"DICKENS County ,TX",2,155589.30
38021,"DICKEY County ,ND",4,267791.12
47043,"DICKSON County ,TN",283,37112318.35
54017,"DODDRIDGE County ,WV",3,350851.96
20043,"DONIPHAN County ,KS",16,1506762.68
24019,"DORCHESTER County ,MD",117,18039778.66
38025,"DUNN County ,ND",9,2223362.96
12031,"DUVAL County ,FL",4804,772078585.02
48131,"DUVAL County ,TX",10,769049.28
17045,"EDGAR County ,IL",24,1843346.65
42047,"ELK County ,PA",38,3834256.98
18039,"ELKHART County ,IN",382,39743511.79
21063,"ELLIOTT County ,KY",17,1348211.08
48139,"ELLIS County ,TX",1247,198071443.10
01051,"ELMORE County ,AL",429,61427523.85
36029,"ERIE County ,NY",3290,382943115.71
36031,"ESSEX County ,NY",172,15838786.98
21065,"ESTILL County ,KY",169,15579351.15
22039,"EVANGELINE County ,LA",36,3591313.22
27043,"FARIBAULT County ,MN",32,3320124.79
13113,"FAYETTE County ,GA",722,143399058.22
21067,"FAYETTE County ,KY",656,87621872.87
21069,"FLEMING County ,KY",127,11178237.18
13115,"FLOYD County ,GA",227,26518495.47
51063,"FLOYD County ,VA",35,4981852.04
37067,"FORSYTH County ,NC",2728,354834219.17
38031,"FOSTER County ,ND",12,1219865.04
51620,"FRANKLIN CITY County ,VA",43,7030556.54
13119,"FRANKLIN County ,GA",63,6893580.98
22041,"FRANKLIN County ,LA",85,7526824.61
23007,"FRANKLIN County ,ME",65,7225229.88
39049,"FRANKLIN County ,OH",4758,636313324.46
42055,"FRANKLIN County ,PA",3638,534337155.68
47051,"FRANKLIN County ,TN",262,27840512.79
16043,"FREMONT County ,ID",168,27530130.71
56013,"FREMONT County ,WY",420,66733054.88
17059,"GALLATIN County ,IL",5,174260.40
39053,"GALLIA County ,OH",26,2855600.91
48167,"GALVESTON County ,TX",1818,309691518.56
49017,"GARFIELD County ,UT",16,1993292.16
05051,"GARLAND County ,AR",1590,191651824.42
37073,"GATES County ,NC",16,2259633.74
39055,"GEAUGA County ,OH",284,51070825.12
26049,"GENESEE County ,MI",1729,169621518.99
29075,"GENTRY County ,MO",9,579699.74
08047,"GILPIN County ,CO",53,11763575.26
06021,"GLENN County ,CA",203,30739069.59
26053,"GOGEBIC County ,MI",10,599725.93
48177,"GONZALES County ,TX",85,11455592.33
16047,"GOODING County ,ID",53,6988925.10
13129,"GORDON County ,GA",206,20290923.71
13131,"GRADY County ,GA",46,5415594.78
49019,"GRAND County ,UT",219,47219812.92
26055,"GRAND TRAVERSE County ,MI",210,29497760.42
30039,"GRANITE County ,MT",3,334849.40
05053,"GRANT County ,AR",256,28872710.67
20067,"GRANT County ,KS",7,653821.64
21081,"GRANT County ,KY",114,14204235.99
40053,"GRANT County ,OK",6,587635.66
54023,"GRANT County ,WV",42,4281644.98
26057,"GRATIOT County ,MI",40,3305869.27
53027,"GRAYS HARBOR County ,WA",1274,163943736.31
21085,"GRAYSON County ,KY",155,18875672.46
18055,"GREENE County ,IN",369,36527584.64
46053,"GREGORY County ,SD",4,630125.56
29079,"GRUNDY County ,MO",5,476079.55
66010,"GUAM County ,GU",16,1278993.95
37081,"GUILFORD County ,NC",3636,454611416.80
13135,"GWINNETT County ,GA",5338,911873920.46
01065,"HALE County ,AL",118,16929684.25
37083,"HALIFAX County ,NC",121,15090144.82
17065,"HAMILTON County ,IL",20,922602.00
51650,"HAMPTON CITY County ,VA",623,106124551.61
13143,"HARALSON County ,GA",145,15607753.28
39065,"HARDIN County ,OH",45,4642787.74
47071,"HARDIN County ,TN",128,13747491.36
37085,"HARNETT County ,NC",350,55347541.83
13145,"HARRIS County ,GA",122,22277052.65
18061,"HARRISON County ,IN",126,15130070.41
21099,"HART County ,KY",45,3759669.92
20079,"HARVEY County ,KS",150,14337477.59
15001,"HAWAII County ,HI",471,117211222.32
37087,"HAYWOOD County ,NC",100,13721416.57
48211,"HEMPHILL County ,TX",16,1756001.36
17071,"HENDERSON County ,IL",3,215559.79
29083,"HENRY County ,MO",48,4056365.79
47081,"HICKMAN County ,TN",258,26115990.71
35023,"HIDALGO County ,NM",12,903556.32
08053,"HINSDALE County ,CO",2,308592.19
20083,"HODGEMAN County ,KS",1,57667.84
12059,"HOLMES County ,FL",54,6430163.34
39075,"HOLMES County ,OH",43,4730342.29
01069,"HOUSTON County ,AL",1140,141352882.92
47083,"HOUSTON County ,TN",62,6996167.96
24027,"HOWARD County ,MD",2767,869038331.63
06023,"HUMBOLDT County ,CA",689,144887495.93
18069,"HUNTINGTON County ,IN",628,49490770.01
37095,"HYDE County ,NC",9,1927991.91
06027,"INYO County ,CA",278,68085839.44
13155,"IRWIN County ,GA",5,552296.85
27059,"ISANTI County ,MN",319,44598515.94
51093,"ISLE OF WIGHT County ,VA",258,64497153.40
01071,"JACKSON County ,AL",184,19960797.86
17077,"JACKSON County ,IL",198,18851227.27
26075,"JACKSON County ,MI",176,17610165.21
28059,"JACKSON County ,MS",1457,195186423.09
39079,"JACKSON County ,OH",32,2852568.09
48239,"JACKSON County ,TX",69,8055642.79
42065,"JEFFERSON County ,PA",91,8357173.35
22053,"JEFFERSON DAVIS County ,LA",71,7893093.77
17083,"JERSEY County ,IL",140,14038459.65
41033,"JOSEPHINE County ,OR",652,115138908.57
30045,"JUDITH BASIN County ,MT",6,887166.14
15007,"KAUAI County ,HI",130,48011099.91
31099,"KEARNEY County ,NE",16,2128007.68
20093,"KEARNY County ,KS",4,369451.85
26081,"KENT County ,MI",2369,274202624.16
44003,"KENT County ,RI",440,77716219.17
55061,"KEWAUNEE County ,WI",104,13780315.74
38043,"KIDDER County ,ND",3,305521.35
06031,"KINGS County ,CA",1203,208116361.46
46077,"KINGSBURY County ,SD",7,511138.06
41035,"KLAMATH County ,OR",433,63518824.31
31107,"KNOX County ,NE",2,121236.05
18091,"LA PORTE County ,IN",734,68782744.10
17099,"LA SALLE County ,IL",629,58031945.61
42069,"LACKAWANNA County ,PA",1149,149200014.01
28071,"LAFAYETTE County ,MS",131,18388322.28
46079,"LAKE County ,SD",58,6890491.78
13173,"LANIER County ,GA",30,3908600.59
08069,"LARIMER County ,CO",2026,422175944.00
01077,"LAUDERDALE County ,AL",403,43048663.78
45059,"LAURENS County ,SC",101,10602956.61
17101,"LAWRENCE County ,IL",113,8350161.50
18093,"LAWRENCE County ,IN",1235,119261586.32
21127,"LAWRENCE County ,KY",59,5875779.23
20103,"LEAVENWORTH County ,KS",187,26535867.42
13177,"LEE County ,GA",109,15157148.35
26089,"LEELANAU County ,MI",20,3040963.15
